date,newest_date,units,battery,hybrid,mild_hybrid,plugin_hybrid,total
2014 Q3 (end September),01/07/2014,Thousands,10.607,180.667,0.013,6.284,30871.065
2014 Q4 (end December),01/10/2014,Thousands,12.364,184.677,0.016,9.691,30513.268
2015 Q1 (end March),01/01/2015,Thousands,14.584,194.131,0.017,15.447,30671.805
2015 Q2 (end June),01/04/2015,Thousands,16.32,204.797,0.018,19.235,30944.434
2015 Q3 (end September),01/07/2015,Thousands,18.326,216.046,0.02,23.334,31154.342
2015 Q4 (end December),01/10/2015,Thousands,20.959,224.573,0.026,27.47,31170.701
2016 Q1 (end March),01/01/2016,Thousands,23.758,237.052,0.034,35.468,31388.738
2016 Q2 (end June),01/04/2016,Thousands,25.339,248.801,0.036,41.933,31626.347
2016 Q3 (end September),01/07/2016,Thousands,27.944,262.289,0.032,49.007,31813.947
2016 Q4 (end December),01/10/2016,Thousands,29.721,272.004,0.034,54.865,31792.259
2017 Q1 (end March),01/01/2017,Thousands,33.515,290.009,0.051,62.784,32023.848
2017 Q2 (end June),01/04/2017,Thousands,36.026,305.031,0.055,69.707,32170.427
2017 Q3 (end September),01/07/2017,Thousands,39.494,325.671,0.063,78.68,32302.822
2017 Q4 (end December),01/10/2017,Thousands,42.021,337.297,0.068,86.867,32159.943
2018 Q1 (end March),01/01/2018,Thousands,45.601,356.782,0.069,95.875,32313.922
2018 Q2 (end June),01/04/2018,Thousands,48.545,376.265,0.097,105.633,32471.348
2018 Q3 (end September),01/07/2018,Thousands,52.286,401.836,0.097,116.417,32578.189
2018 Q4 (end December),01/10/2018,Thousands,56.311,417.922,0.104,126.13,32493.258
2019 Q1 (end March),01/01/2019,Thousands,61.259,443.742,0.128,134.003,32669.954
2019 Q2 (end June),01/04/2019,Thousands,66.729,466.283,0.142,139.326,32833.406
2019 Q3 (end September),01/07/2019,Thousands,78.719,494.992,0.171,145.895,32973.206
2019 Q4 (end December),01/10/2019,Thousands,90.859,518.721,0.183,155.958,32884.32
2020 Q1 (end March),01/01/2020,Thousands,108.258,548.026,0.192,167.566,32653.753
2020 Q2 (end June),01/04/2020,Thousands,119.91,560.878,0.197,173.007,32608.71
2020 Q3 (end September),01/07/2020,Thousands,154.305,625.699,0.204,193.51,32869.865
2020 Q4 (end December),01/10/2020,Thousands,193.993,668.197,0.217,214.516,32697.408
2021 Q1 (end March),01/01/2021,Thousands,224.126,729.943,0.218,238.252,32730.099
2021 Q2 (end June),01/04/2021,Thousands,265.641,809.3,0.218,269.506,33047.879
2021 Q3 (end September),01/07/2021,Thousands,315.025,885.473,0.219,296.49,33018.787
2021 Q4 (end December),01/10/2021,Thousands,379.221,932.335,0.215,321.441,32889.462
2022 Q1 (end March),01/01/2022,Thousands,441.167,1019.931,0.22,348.546,32937.79
