date,battery,battery_low_95,battery_high_95,type
01/04/2022,508.620604,496.9502898,520.2909182,forecast
01/07/2022,581.2880787,559.0515734,603.5245839,forecast
01/10/2022,662.6459578,627.0045652,698.2873505,forecast
01/01/2023,742.7262543,691.9613354,793.4911731,forecast
01/04/2023,826.0809599,753.6398131,898.5221066,forecast
01/07/2023,912.5710471,815.5949252,1009.547169,forecast
01/10/2023,1004.266363,879.6257795,1128.906947,forecast
01/01/2024,1095.197343,940.4363393,1249.958346,forecast
01/04/2024,1188.09047,998.5001638,1377.680775,forecast
01/07/2024,1282.863167,1055.414803,1510.311532,forecast
01/10/2024,1380.755826,1112.403558,1649.108095,forecast
01/01/2025,1478.190368,1166.3058,1790.074936,forecast
01/04/2025,1576.801019,1217.669134,1935.932904,forecast
01/07/2025,1676.538299,1267.309044,2085.767554,forecast
01/10/2025,1778.145697,1316.011113,2240.28028,forecast
01/01/2026,1879.478497,1361.892829,2397.064165,forecast
01/04/2026,1981.516264,1405.399878,2557.632649,forecast
01/07/2026,2084.229336,1446.979913,2721.47876,forecast
01/10/2026,2188.063367,1487.132917,2888.993817,forecast
01/01/2027,2291.732804,1524.743141,3058.722466,forecast
01/04/2027,2395.824799,1560.136887,3231.512712,forecast
01/07/2027,2500.321578,1593.573753,3407.069402,forecast
01/10/2027,2605.490263,1625.373159,3585.607367,forecast
01/01/2028,2710.56029,1654.87846,3766.24212,forecast
01/04/2028,2815.883601,1682.318652,3949.448551,forecast
01/07/2028,2921.449541,1707.851849,4135.047233,forecast
01/10/2028,3027.418226,1731.684292,4323.15216,forecast
01/01/2029,3133.327773,1753.433393,4513.222154,forecast
01/04/2029,3239.389141,1773.257383,4705.520899,forecast
01/07/2029,3345.595941,1791.257278,4899.934605,forecast
01/10/2029,3452.044149,1807.568419,5096.519879,forecast
01/01/2030,3558.45691,1821.971199,5294.94262,forecast
01/04/2030,3664.960672,1834.574906,5495.346438,forecast
01/07/2030,3771.551608,1845.447243,5697.655972,forecast
01/10/2030,3878.287244,1854.678959,5901.895529,forecast
01/01/2031,3985.001633,1862.146919,6107.856347,forecast
01/04/2031,4091.770569,1867.927368,6315.61377,forecast
01/07/2031,4198.591756,1872.067889,6525.115624,forecast
01/10/2031,4305.499679,1874.630976,6736.368381,forecast
01/01/2032,4412.394865,1875.550249,6949.239481,forecast
01/04/2032,4519.322747,1874.879872,7163.765623,forecast
01/07/2032,4626.28195,1872.654848,7379.909052,forecast
01/10/2032,4733.293141,1868.919577,7597.666705,forecast
