date,plugin_hybrid,plugin_hybrid_low_95,plugin_hybrid_high_95,type
01/04/2022,375.651,367.9681282,383.3338718,forecast
01/07/2022,402.756,385.5765765,419.9354235,forecast
01/10/2022,429.861,401.1143261,458.6076739,forecast
01/01/2023,456.966,414.8851783,499.0468217,forecast
01/04/2023,484.071,427.0932981,541.0487019,forecast
01/07/2023,511.176,437.8860745,584.4659255,forecast
01/10/2023,538.281,447.3760355,629.1859645,forecast
01/01/2024,565.386,455.6526425,675.1193575,forecast
01/04/2024,592.491,462.7891968,722.1928032,forecast
01/07/2024,619.596,468.8471705,770.3448295,forecast
01/10/2024,646.701,473.8790734,819.5229266,forecast
01/01/2025,673.806,477.930435,869.681565,forecast
01/04/2025,700.911,481.0412236,920.7807764,forecast
01/07/2025,728.016,483.2468921,972.7851079,forecast
01/10/2025,755.121,484.5791681,1025.662832,forecast
01/01/2026,782.226,485.0666631,1079.385337,forecast
01/04/2026,809.331,484.735351,1133.926649,forecast
01/07/2026,836.436,483.6089499,1189.26305,forecast
01/10/2026,863.541,481.7092302,1245.37277,forecast
01/01/2027,890.646,479.0562676,1302.235732,forecast
01/04/2027,917.751,475.668652,1359.833348,forecast
01/07/2027,944.856,471.5636619,1418.148338,forecast
01/10/2027,971.961,466.7574118,1477.164588,forecast
01/01/2028,999.066,461.2649772,1536.867023,forecast
01/04/2028,1026.171,455.1005016,1597.241498,forecast
01/07/2028,1053.276,448.2772888,1658.274711,forecast
01/10/2028,1080.381,440.8078826,1719.954117,forecast
01/01/2029,1107.486,432.7041368,1782.267863,forecast
01/04/2029,1134.591,423.9772759,1845.204724,forecast
01/07/2029,1161.696,414.6379491,1908.754051,forecast
01/10/2029,1188.801,404.6962776,1972.905722,forecast
01/01/2030,1215.906,394.1618972,2037.650103,forecast
01/04/2030,1243.011,383.0439954,2102.978005,forecast
01/07/2030,1270.116,371.3513454,2168.880655,forecast
01/10/2030,1297.221,359.0923365,2235.349664,forecast
01/01/2031,1324.326,346.2750007,2302.376999,forecast
01/04/2031,1351.431,332.9070382,2369.954962,forecast
01/07/2031,1378.536,318.9958387,2438.076161,forecast
01/10/2031,1405.641,304.5485026,2506.733497,forecast
01/01/2032,1432.746,289.5718587,2575.920141,forecast
01/04/2032,1459.851,274.0724816,2645.629518,forecast
01/07/2032,1486.956,258.0567066,2715.855293,forecast
01/10/2032,1514.061,241.5306445,2786.591356,forecast
